596495	2.72233e+06	51.7451
1603507706.163119	794792.002781	2490845.335414	0
1603507707.153168	794792.075529	2490845.091149	0
1603507708.153253	794792.226738	2490844.629717	0
1603507709.163333	794792.378615	2490844.151051	0
1603507710.153395	794792.515877	2490843.707037	0
1603507711.163493	794792.621298	2490843.349475	0
1603507712.163565	794792.597815	2490843.394291	0
1603507713.153609	794792.493440	2490843.671694	0
1603507714.163681	794792.433151	2490843.855884	0
1603507715.163769	794792.481487	2490843.720471	0
1603507716.163843	794792.603525	2490843.299701	0
1603507717.153907	794792.772742	2490842.792661	0
1603507718.153968	794793.067892	2490841.842356	0
1603507719.154044	794793.437409	2490840.651453	0
1603507720.154595	794793.769248	2490839.536317	0
1603507721.154186	794794.029795	2490838.443569	0
1603507722.524305	794794.256067	2490837.398192	0
1603507723.154307	794794.448330	2490836.389070	0
1603507724.154388	794794.623227	2490835.430954	0
1603507725.154467	794794.748638	2490834.548492	0
1603507726.164517	794794.872109	2490833.692421	0
1603507727.154592	794795.019652	2490832.747215	0
1603507728.164658	794795.199463	2490831.562927	0
1603507729.164730	794795.423495	2490830.201007	0
1603507730.164802	794795.656758	2490828.803535	0
1603507731.164851	794795.887778	2490827.458873	0
1603507732.164948	794796.114519	2490826.183654	0
1603507733.164948	794796.351163	2490824.959401	0
1603507734.165064	794796.604585	2490823.736325	0
1603507735.165107	794796.857734	2490822.579580	0
1603507736.165182	794797.102704	2490821.499723	0
1603507737.165241	794797.353291	2490820.472872	0
1603507738.165314	794797.594362	2490819.500370	0
1603507739.165328	794797.914670	2490818.347888	0
1603507740.165449	794798.317592	2490816.864802	0
1603507741.165518	794798.836765	2490815.120203	0
1603507742.155564	794799.393270	2490813.366318	0
1603507743.165639	794799.914093	2490811.725769	0
1603507744.165685	794800.449165	2490810.143002	0
1603507745.165765	794800.952985	2490808.642401	0
1603507746.165829	794801.580839	2490807.116617	0
1603507747.165888	794801.942701	2490805.803980	0
1603507748.165968	794802.237721	2490804.604290	0
1603507749.166081	794802.782294	2490803.268018	0
1603507750.156115	794803.179981	2490801.903437	0
1603507751.156182	794803.759085	2490800.241294	0
1603507752.531391	794804.185917	2490798.561773	0
1603507753.166320	794804.805803	2490796.827005	0
1603507754.156347	794805.354693	2490795.211196	0
1603507755.166415	794805.976962	2490793.609461	0
1603507756.166450	794806.556628	2490791.986209	0
1603507757.166528	794807.339534	2490789.876902	0
1603507758.166559	794808.001362	2490787.990718	0
1603507759.161648	794808.681397	2490786.039761	0
1603507760.166709	794809.376643	2490784.014745	0
1603507761.157034	794810.045547	2490782.022258	0
1603507762.166834	794810.688757	2490780.086942	0
1603507763.166906	794811.337466	2490778.144310	0
1603507764.166948	794811.994178	2490776.121781	0
1603507765.167020	794812.685846	2490774.054411	0
1603507766.162416	794813.389837	2490771.936374	0
1603507767.168146	794814.121007	2490769.715391	0
1603507768.167204	794814.856689	2490767.509124	0
1603507769.167276	794815.551839	2490765.322962	0
1603507770.167318	794816.234962	2490763.250042	0
1603507771.162366	794816.914085	2490761.180330	0
1603507772.167464	794817.618996	2490759.020536	0
1603507773.167538	794818.299424	2490756.948687	0
1603507774.167576	794818.954379	2490754.960444	0
1603507775.167611	794819.580579	2490753.064458	0
1603507776.167695	794820.185910	2490751.265166	0
1603507777.157743	794820.759232	2490749.541679	0
1603507778.157782	794821.316255	2490747.907403	0
1603507779.167875	794821.859408	2490746.347351	0
1603507780.155603	794822.383440	2490744.868308	0
1603507781.168009	794822.881420	2490743.468116	0
1603507782.533244	794823.356769	2490742.132067	0
1603507783.168118	794823.809936	2490740.870648	0
1603507784.161005	794824.255853	2490739.630574	0
1603507785.158551	794824.684788	2490738.463857	0
1603507786.168278	794825.077049	2490737.376837	0
1603507787.168349	794825.446256	2490736.351108	0
1603507788.155874	794825.807461	2490735.372448	0
1603507789.158442	794826.204274	2490734.291812	0
1603507790.168532	794826.682150	2490732.958784	0
1603507791.168606	794827.192366	2490731.560001	0
1603507792.168664	794827.669667	2490730.237900	0
1603507793.168706	794828.119578	2490728.975739	0
1603507794.168782	794828.641411	2490727.522974	0
1603507795.159251	794829.192683	2490725.956909	0
1603507796.156401	794829.724611	2490724.456219	0
1603507797.168963	794830.216513	2490723.037881	0
1603507798.169016	794830.719914	2490721.605737	0
1603507799.169083	794831.258047	2490720.029737	0
1603507800.159443	794831.862885	2490718.255295	0
1603507801.159539	794832.505299	2490716.290341	0
1603507802.159254	794833.144040	2490714.290797	0
1603507803.169326	794833.747224	2490712.367023	0
1603507804.169371	794834.319155	2490710.519311	0
1603507805.169441	794834.863342	2490708.748462	0
1603507806.159483	794835.396785	2490707.064080	0
1603507807.159584	794835.912234	2490705.466878	0
1603507808.159831	794836.403019	2490703.942215	0
1603507809.160504	794836.918927	2490702.432296	0
1603507810.171176	794837.497010	2490700.737147	0
1603507811.171635	794838.157270	2490698.843819	0
1603507812.537233	794838.808733	2490696.958803	0
1603507813.172352	794839.425906	2490695.136833	0
1603507814.162687	794840.011456	2490693.395918	0
1603507815.173005	794840.376523	2490691.960251	0
1603507816.173383	794840.996235	2490690.114500	0
1603507817.173667	794841.677876	2490688.084762	0
1603507818.174015	794842.421160	2490685.901258	0
1603507819.164297	794843.116339	2490683.630892	0
1603507820.175244	794844.009482	2490681.228883	0
1603507821.174921	794844.783037	2490678.962667	0
1603507822.175177	794845.538236	2490676.777021	0
1603507823.175488	794846.270006	2490674.680850	0
1603507824.175765	794846.971164	2490672.685548	0
1603507825.176032	794847.647160	2490670.735970	0
1603507826.176312	794848.300920	2490668.675062	0
1603507827.176561	794849.176067	2490666.361527	0
1603507828.166817	794849.945507	2490664.166891	0
1603507829.177096	794850.686393	2490662.062087	0
1603507830.177346	794851.641350	2490659.826800	0
1603507831.177579	794852.313666	2490657.898211	0
1603507832.177823	794853.006731	2490655.907782	0
1603507833.178044	794853.769959	2490653.691485	0
1603507834.178280	794854.594489	2490651.277757	0
1603507835.178521	794855.474380	2490648.706988	0
1603507836.178713	794856.386793	2490646.018293	0
1603507837.178957	794857.286238	2490643.331587	0
1603507838.179181	794858.171592	2490640.658893	0
1603507839.179371	794859.079229	2490637.939175	0
1603507840.179577	794860.028621	2490635.122953	0
1603507841.169786	794861.019090	2490632.174472	0
1603507842.540395	794862.074015	2490629.109136	0
1603507843.180202	794863.165195	2490626.092246	0
1603507844.170397	794864.271706	2490623.192789	0
1603507845.170583	794865.370337	2490620.404374	0
1603507846.160771	794866.426246	2490617.716054	0
1603507847.161259	794867.427449	2490615.136099	0
1603507848.171144	794868.383370	2490612.638422	0
1603507849.171332	794869.283150	2490610.215263	0
1603507850.171496	794870.213333	2490607.708542	0
1603507851.148804	794871.175056	2490605.039387	0
1603507852.151842	794872.141322	2490602.370057	0
1603507853.152007	794873.057107	2490599.792953	0
1603507854.162191	794873.923676	2490597.311354	0
1603507855.152362	794874.759781	2490594.924646	0
1603507856.144439	794875.572792	2490592.636067	0
1603507857.142680	794876.370996	2490590.424981	0
1603507858.122816	794877.157081	2490588.328111	0
1603507859.112986	794877.990020	2490586.354253	0
1603507860.103199	794878.894518	2490584.517816	0
1603507861.113303	794879.920940	2490582.786418	0
1603507862.113457	794881.141614	2490581.299131	0
1603507863.123606	794882.317258	2490579.944658	0
1603507864.133781	794883.521309	2490578.752026	0
1603507865.133901	794884.761246	2490577.789968	0
1603507866.129367	794885.997648	2490576.998501	0
1603507867.134288	794887.201391	2490576.351409	0
1603507868.144406	794888.370863	2490575.832154	0
1603507869.144576	794889.449331	2490575.439774	0
1603507870.154702	794890.639307	2490575.108330	0
1603507871.155114	794891.732751	2490574.881642	0
1603507872.530024	794891.979522	2490574.840459	0
1603507873.165071	794892.320476	2490574.789824	0
1603507874.165229	794893.157118	2490574.676722	0
1603507875.165338	794894.219301	2490574.589998	0
1603507876.165490	794895.879319	2490574.576562	0
1603507877.165626	794898.078923	2490574.796298	0
1603507878.175761	794900.396867	2490575.327400	0
1603507879.175877	794902.479526	2490576.017727	0
1603507880.186026	794904.379543	2490576.627775	0
1603507881.176112	794906.151795	2490577.143103	0
1603507882.186292	794907.815550	2490577.630942	0
1603507883.186418	794909.358255	2490578.078132	0
1603507884.186517	794910.840662	2490578.528117	0
1603507885.186652	794912.580311	2490579.062550	0
1603507886.181795	794914.698245	2490579.727535	0
1603507887.186870	794917.181578	2490580.534213	0
1603507888.187014	794919.311402	2490580.992805	0
1603507889.187119	794920.182156	2490581.295028	0
1603507890.187243	794920.192032	2490581.307732	0
1603507891.187364	794920.243932	2490581.337333	0
1603507892.187463	794920.374626	2490581.453454	0
1603507893.187585	794920.425129	2490581.452800	0
1603507894.187718	794920.463820	2490581.452717	0
1603507895.187826	794920.486477	2490581.495163	0
1603507896.187881	794920.550758	2490581.505274	0
1603507897.188065	794920.934476	2490581.646821	0
1603507898.188189	794921.934690	2490581.994010	0
1603507899.188297	794923.425093	2490582.510803	0
1603507900.188417	794925.374831	2490583.182767	0
1603507901.188537	794927.616668	2490583.955881	0
1603507902.553872	794929.890391	2490584.760608	0
1603507903.188767	794932.207189	2490585.537708	0
1603507904.188889	794934.549480	2490586.323354	0
1603507905.188968	794936.872179	2490587.140981	0
1603507906.189094	794939.173032	2490587.971714	0
1603507907.189210	794941.505670	2490588.760195	0
1603507908.189309	794943.893623	2490589.557258	0
1603507909.199440	794946.295558	2490590.380661	0
1603507910.199573	794948.674293	2490591.209076	0
1603507911.189634	794951.114996	2490592.004804	0
1603507912.189769	794953.591659	2490592.815029	0
1603507913.189876	794956.220327	2490593.652605	0
1603507914.189961	794958.359817	2490594.370880	0
1603507915.190096	794960.612791	2490595.085764	0
1603507916.190213	794963.183038	2490595.913263	0
1603507917.190315	794966.078568	2490596.769717	0
1603507918.190443	794969.167674	2490597.729293	0
1603507919.191398	794972.355988	2490598.730533	0
1603507920.190682	794975.390428	2490599.705543	0
1603507921.190753	794978.315802	2490600.682798	0
1603507922.190866	794980.912940	2490601.572103	0
1603507923.180938	794983.283327	2490602.404817	0
1603507924.191154	794985.571382	2490603.233734	0
1603507925.191250	794987.948941	2490604.107568	0
1603507926.191325	794990.233932	2490604.982794	0
1603507927.191477	794992.416677	2490605.803853	0
1603507928.191549	794994.514557	2490606.548141	0
1603507929.191645	794996.508497	2490607.261630	0
1603507930.191741	794998.400585	2490607.914624	0
1603507931.191813	795000.258696	2490608.555172	0
1603507932.562335	795002.375056	2490609.288772	0
1603507933.192012	795004.859728	2490610.148359	0
1603507934.192105	795007.516471	2490611.106041	0
1603507935.192215	795010.022988	2490612.046963	0
1603507936.192327	795012.304971	2490612.998151	0
1603507937.192423	795014.449883	2490614.077721	0
1603507938.202513	795016.384081	2490615.285243	0
1603507939.202633	795018.155877	2490616.518923	0
1603507940.202739	795019.855512	2490617.919680	0
1603507941.202851	795020.956536	2490618.865886	0
1603507942.202944	795021.725931	2490619.626838	0
1603507943.203045	795022.273928	2490620.281053	0
1603507944.193434	795022.652704	2490620.813720	0
1603507945.203253	795022.904297	2490621.229041	0
1603507946.203352	795023.047721	2490621.488690	0
1603507947.203468	795023.098409	2490621.583694	0
1603507948.203588	795023.173745	2490621.729962	0
1603507949.203644	795023.372637	2490622.136146	0
1603507950.203757	795023.704185	2490622.912448	0
1603507951.203876	795024.074731	2490623.974702	0
1603507952.203941	795024.389483	2490625.177566	0
1603507953.194378	795024.574359	2490626.216002	0
1603507954.197287	795024.684330	2490627.016848	0
1603507955.197399	795024.757755	2490627.615806	0
1603507956.204358	795024.799190	2490628.054116	0
1603507957.204503	795024.837549	2490628.703006	0
1603507958.204545	795024.844954	2490629.845626	0
1603507959.199674	795024.724673	2490631.427167	0
1603507960.199736	795024.461910	2490632.985131	0
1603507961.199875	795024.118570	2490634.342852	0
1603507962.570158	795023.754943	2490635.498404	0
1603507963.205069	795023.400415	2490636.465912	0
1603507964.205157	795023.074324	2490637.253584	0
1603507965.205246	795022.785301	2490637.879391	0
1603507966.205377	795022.411607	2490638.636497	0
1603507967.200020	795021.884294	2490639.675691	0
1603507968.205585	795021.214780	2490640.959020	0
1603507969.205692	795020.490698	2490642.351722	0
1603507970.205772	795019.785397	2490643.666760	0
1603507971.198934	795019.126533	2490644.858522	0
1603507972.205969	795018.497280	2490645.948106	0
1603507973.199173	795017.929716	2490646.956374	0
1603507974.199242	795017.405612	2490647.868537	0
1603507975.206282	795016.917402	2490648.722939	0
1603507976.199478	795016.442553	2490649.543362	0
1603507977.199600	795015.992991	2490650.338431	0
1603507978.206576	795015.544940	2490651.109701	0
1603507979.206664	795015.119073	2490651.875000	0
1603507980.206746	795014.698013	2490652.631943	0
1603507981.206868	795014.255564	2490653.447988	0
1603507982.206982	795013.763966	2490654.380843	0
1603507983.197383	795013.215746	2490655.454366	0
1603507984.207169	795012.665913	2490656.577492	0
1603507985.207263	795012.108505	2490657.769243	0
1603507986.197744	795011.591167	2490658.923387	0
1603507987.207581	795011.128814	2490660.009075	0
1603507988.197863	795010.711305	2490661.041816	0
1603507989.207723	795010.329388	2490662.034339	0
1603507990.207816	795009.990254	2490662.966283	0
1603507991.207901	795009.689477	2490663.824312	0
1603507992.574216	795009.418651	2490664.618588	0
1603507993.208048	795009.165724	2490665.356068	0
1603507994.211649	795008.911954	2490666.031942	0
1603507995.198532	795008.703724	2490666.577480	0
1603507996.198611	795008.683286	2490666.619698	0
1603507997.198762	795008.686903	2490666.622349	0
1603507998.199966	795008.688764	2490666.624624	0
1603507999.198904	795008.685580	2490666.623727	0
1603508000.208755	795008.686125	2490666.623173	0
1603508001.211672	795008.686107	2490666.622961	0
1603508002.212442	795008.685273	2490666.622147	0
1603508003.199351	795008.686273	2490666.622942	0
1603508004.209171	795008.685684	2490666.624634	0
1603508005.209254	795008.684614	2490666.624235	0
1603508006.199828	795008.685430	2490666.623811	0
