time,io,ctlmode,ctlbrake,ctlthrottle,ctlgear_location,vehicle_speed,engine_rpm,driving_mode,throttle_percentage,brake_percentage,gear_location,imu
1590560513.2969,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.3012,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.3068,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.3112,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.3169,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.3212,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.3269,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.3312,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.3368,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.3412,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.3468,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.3512,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.3568,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.3612,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.3668,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.3712,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.3768,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.3811,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.3868,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.3912,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.3968,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.4012,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.4068,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.4112,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.4169,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.4211,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.4268,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.4312,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
1590560513.4368,0,1,50,0,0,0.0,nan,1,0.0,0.0,0,0.05
1590560513.4413,0,1,50,0,0,0.0,nan,1,0.0,0.0,6,0.05
